Term,Part Of Term,School,Subject,Course Number,Section Number,CRN,Title,Long_Crs_Desc,CurrentEnroll,Enrollment (Including Cross List),Max Enrollment (Including Cross List),Seats Available (Including Cross List),Wait List Count (Including Cross List),Wait List Available (Including Cross List),Part of Term Start Date,Part of Term End Date,Primary Instructor,Other Instructors,Meeting Times,Rooms
Fall 2018,Full Term,College of Liberal Arts,AMST,101,K,10014,American Pop Culture,,20,20,15,-5,0,999,8/27/18,12/14/18,"Evans, Clifford",,TR 01:15 PM - 02:30 PM,BC 118
Fall 2018,Full Term,College of Liberal Arts,AMST,101,X2,10069,American Pop Culture,,17,17,15,-2,0,999,8/27/18,12/14/18,"Shakir, Nazlin",,MW 02:40 PM - 03:55 PM,TIL 101
Fall 2018,Full Term,College of Liberal Arts,AMST,101,Z,10005,American Pop Culture,,15,15,15,0,1,998,8/27/18,12/14/18,"Orsini, Maximillian",,TR 02:40 PM - 03:55 PM,BC 118
Fall 2018,Full Term,College of Liberal Arts,ANTH,102,J,10626,Introduction to Archaeology,Science and the Human Past: Introduction to Archaeology,29,29,30,1,0,999,8/27/18,12/14/18,"Masucci, Maria",,WF 01:15 PM - 02:30 PM,BC 201
Fall 2018,Full Term,College of Liberal Arts,ANTH,103,D,10074,Human Evolution: Biological Anthropology and Archaeology,Human Evolution: Biological Anthropology,40,40,40,0,1,998,8/27/18,12/14/18,"Klabacha, Mary",,TR 09:00 AM - 10:15 AM,BC 215
Fall 2018,Full Term,College of Liberal Arts,ANTH,104,J,10862,Cultural Diversity: Cultural Anthropology and Linguistics,Cultural Diversity: Cultural Anthropology and Linguistics,23,23,30,7,0,999,8/27/18,12/14/18,"Dawson, Allan",,WF 01:15 PM - 02:30 PM,LC 30
Fall 2018,Full Term,College of Liberal Arts,ANTH,104,Z,10085,Cultural Diversity: Cultural Anthropology and Linguistics,,45,45,50,5,0,999,8/27/18,12/14/18,"Dawson, Allan",,TR 02:40 PM - 03:55 PM,LC 28
Fall 2018,Full Term,College of Liberal Arts,ANTH,105,Z,10911,Special Topics: Anthropology,Special Topics in Anthropology: Anthropology of Gender,8,18,20,2,0,999,8/27/18,12/14/18,"Arango-Vargas, Carolina",,TR 02:40 PM - 03:55 PM,BC 201
Fall 2018,Full Term,College of Liberal Arts,ANTH,201,F,10077,History of Anthropological Theory,History of Anthropological Theory,11,11,25,14,0,999,8/27/18,12/14/18,"Dawson, Allan",,TR 10:25 AM - 11:40 AM,BC 103
Fall 2018,Full Term,College of Liberal Arts,ANTH,209,T,10627,Anthropology of Business,,17,23,25,2,0,999,8/27/18,12/14/18,"Dawson, Allan",,WF 02:40 PM - 03:55 PM,BC 120
