Busy times for ECON101, ECON102 (168 enrolled):
        	         M	         T	         W	         R	         F	
AM 07:45	    2 (  1 %)	    0 (  0 %)	    2 (  1 %)	    0 (  0 %)	    2 (  1 %)	
AM 08:00	    2 (  1 %)	    3 (  1 %)	    2 (  1 %)	    3 (  1 %)	    2 (  1 %)	
AM 08:15	    2 (  1 %)	    3 (  1 %)	    2 (  1 %)	    3 (  1 %)	    2 (  1 %)	
AM 08:30	   12 (  7 %)	    6 (  3 %)	   12 (  7 %)	    6 (  3 %)	    2 (  1 %)	
AM 08:45	   12 (  7 %)	    6 (  3 %)	   12 (  7 %)	    6 (  3 %)	    2 (  1 %)	
AM 09:00	   90 ( 53 %)	   33 ( 19 %)	   90 ( 53 %)	   33 ( 19 %)	   75 ( 44 %)	
AM 09:15	   88 ( 52 %)	   36 ( 21 %)	   88 ( 52 %)	   34 ( 20 %)	   73 ( 43 %)	
AM 09:30	   89 ( 52 %)	   36 ( 21 %)	   89 ( 52 %)	   34 ( 20 %)	   75 ( 44 %)	
AM 09:45	   89 ( 52 %)	   36 ( 21 %)	   89 ( 52 %)	   34 ( 20 %)	   75 ( 44 %)	
AM 10:00	   89 ( 52 %)	   33 ( 19 %)	   89 ( 52 %)	   31 ( 18 %)	   75 ( 44 %)	
AM 10:15	  116 ( 69 %)	  116 ( 69 %)	  119 ( 70 %)	  114 ( 67 %)	  100 ( 59 %)	
AM 10:30	   66 ( 39 %)	  105 ( 62 %)	   69 ( 41 %)	  104 ( 61 %)	   48 ( 28 %)	
AM 10:45	   66 ( 39 %)	  105 ( 62 %)	   69 ( 41 %)	  103 ( 61 %)	   48 ( 28 %)	
AM 11:00	   66 ( 39 %)	  105 ( 62 %)	   69 ( 41 %)	  103 ( 61 %)	   48 ( 28 %)	
AM 11:15	   66 ( 39 %)	  105 ( 62 %)	   69 ( 41 %)	  103 ( 61 %)	   48 ( 28 %)	
AM 11:30	   66 ( 39 %)	  103 ( 61 %)	   69 ( 41 %)	  103 ( 61 %)	   48 ( 28 %)	
AM 11:45	   74 ( 44 %)	   33 ( 19 %)	   76 ( 45 %)	   32 ( 19 %)	   34 ( 20 %)	
NN 12:00	   70 ( 41 %)	   32 ( 19 %)	   72 ( 42 %)	   31 ( 18 %)	   34 ( 20 %)	
NN 12:15	   70 ( 41 %)	   32 ( 19 %)	   72 ( 42 %)	   31 ( 18 %)	   34 ( 20 %)	
NN 12:30	   72 ( 42 %)	   31 ( 18 %)	   75 ( 44 %)	   30 ( 17 %)	   35 ( 20 %)	
NN 12:45	   69 ( 41 %)	   32 ( 19 %)	   72 ( 42 %)	   31 ( 18 %)	   35 ( 20 %)	
PM 01:00	   40 ( 23 %)	   32 ( 19 %)	   43 ( 25 %)	   31 ( 18 %)	    6 (  3 %)	
PM 01:15	   65 ( 38 %)	   65 ( 38 %)	   69 ( 41 %)	   63 ( 37 %)	   31 ( 18 %)	
PM 01:30	   65 ( 38 %)	   67 ( 39 %)	   69 ( 41 %)	   63 ( 37 %)	   31 ( 18 %)	
PM 01:45	   65 ( 38 %)	   68 ( 40 %)	   69 ( 41 %)	   64 ( 38 %)	   31 ( 18 %)	
PM 02:00	   65 ( 38 %)	   62 ( 36 %)	   69 ( 41 %)	   58 ( 34 %)	   31 ( 18 %)	
PM 02:15	   65 ( 38 %)	   62 ( 36 %)	   69 ( 41 %)	   58 ( 34 %)	   31 ( 18 %)	
PM 02:30	   78 ( 46 %)	  103 ( 61 %)	   82 ( 48 %)	   99 ( 58 %)	   19 ( 11 %)	
PM 02:45	   48 ( 28 %)	   59 ( 35 %)	   49 ( 29 %)	   57 ( 33 %)	   13 (  7 %)	
PM 03:00	   48 ( 28 %)	   59 ( 35 %)	   49 ( 29 %)	   57 ( 33 %)	   13 (  7 %)	
PM 03:15	   48 ( 28 %)	   59 ( 35 %)	   49 ( 29 %)	   57 ( 33 %)	   13 (  7 %)	
PM 03:30	   45 ( 26 %)	   58 ( 34 %)	   44 ( 26 %)	   58 ( 34 %)	   13 (  7 %)	
PM 03:45	   47 ( 27 %)	   58 ( 34 %)	   46 ( 27 %)	   58 ( 34 %)	   13 (  7 %)	
PM 04:00	   10 (  5 %)	    6 (  3 %)	   10 (  5 %)	    7 (  4 %)	    5 (  2 %)	
PM 04:15	   13 (  7 %)	   14 (  8 %)	   13 (  7 %)	   15 (  8 %)	    5 (  2 %)	
PM 04:30	   50 ( 29 %)	   24 ( 14 %)	   48 ( 28 %)	   25 ( 14 %)	    4 (  2 %)	
PM 04:45	   47 ( 27 %)	   23 ( 13 %)	   45 ( 26 %)	   24 ( 14 %)	    4 (  2 %)	
PM 05:00	   47 ( 27 %)	   23 ( 13 %)	   45 ( 26 %)	   24 ( 14 %)	    4 (  2 %)	
PM 05:15	   45 ( 26 %)	   22 ( 13 %)	   42 ( 25 %)	   24 ( 14 %)	    4 (  2 %)	
PM 05:30	   46 ( 27 %)	   22 ( 13 %)	   42 ( 25 %)	   21 ( 12 %)	    4 (  2 %)	
PM 05:45	   44 ( 26 %)	   22 ( 13 %)	   40 ( 23 %)	   21 ( 12 %)	    0 (  0 %)	
PM 06:00	    5 (  2 %)	    5 (  2 %)	    1 (  0 %)	    4 (  2 %)	    0 (  0 %)	
PM 06:15	    4 (  2 %)	   12 (  7 %)	    0 (  0 %)	    4 (  2 %)	    0 (  0 %)	
PM 06:30	    4 (  2 %)	   12 (  7 %)	    1 (  0 %)	    4 (  2 %)	    0 (  0 %)	
PM 06:45	    1 (  0 %)	    8 (  4 %)	    1 (  0 %)	    1 (  0 %)	    0 (  0 %)	
PM 07:00	    3 (  1 %)	   11 (  6 %)	    2 (  1 %)	    1 (  0 %)	    0 (  0 %)	
PM 07:15	    2 (  1 %)	    4 (  2 %)	    2 (  1 %)	    0 (  0 %)	    0 (  0 %)	
PM 07:30	    3 (  1 %)	    4 (  2 %)	    2 (  1 %)	    0 (  0 %)	    0 (  0 %)	
PM 07:45	    3 (  1 %)	    4 (  2 %)	    2 (  1 %)	    0 (  0 %)	    0 (  0 %)	
PM 08:00	    3 (  1 %)	    4 (  2 %)	    2 (  1 %)	    0 (  0 %)	    0 (  0 %)	
PM 08:15	    3 (  1 %)	    4 (  2 %)	    2 (  1 %)	    0 (  0 %)	    0 (  0 %)	
PM 08:30	    3 (  1 %)	    4 (  2 %)	    2 (  1 %)	    0 (  0 %)	    0 (  0 %)	
PM 08:45	    2 (  1 %)	    4 (  2 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
PM 09:00	    2 (  1 %)	    4 (  2 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
PM 09:15	    2 (  1 %)	    3 (  1 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
PM 09:30	    2 (  1 %)	    3 (  1 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
