Busy times for MATH340 (7 enrolled):
        	         M	         T	         W	         R	         F	
AM 07:45	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:00	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:15	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:30	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:45	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:00	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:15	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:30	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:45	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 10:00	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 10:15	    3 ( 42 %)	    1 ( 14 %)	    3 ( 42 %)	    1 ( 14 %)	    1 ( 14 %)	
AM 10:30	    3 ( 42 %)	    1 ( 14 %)	    3 ( 42 %)	    1 ( 14 %)	    1 ( 14 %)	
AM 10:45	    3 ( 42 %)	    1 ( 14 %)	    3 ( 42 %)	    1 ( 14 %)	    1 ( 14 %)	
AM 11:00	    3 ( 42 %)	    1 ( 14 %)	    3 ( 42 %)	    1 ( 14 %)	    1 ( 14 %)	
AM 11:15	    3 ( 42 %)	    1 ( 14 %)	    3 ( 42 %)	    1 ( 14 %)	    1 ( 14 %)	
AM 11:30	    3 ( 42 %)	    0 (  0 %)	    3 ( 42 %)	    0 (  0 %)	    1 ( 14 %)	
AM 11:45	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	
NN 12:00	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	
NN 12:15	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	
NN 12:30	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	
NN 12:45	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	    3 ( 42 %)	    7 (100 %)	
