Busy times for MATH3402, MUS326 (2 enrolled):
        	         M	         T	         W	         R	         F	
AM 07:45	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:00	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:15	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:30	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 08:45	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:00	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:15	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:30	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 09:45	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 10:00	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	    0 (  0 %)	
AM 10:15	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	
AM 10:30	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	
AM 10:45	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	
AM 11:00	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	
AM 11:15	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	
AM 11:30	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	    1 ( 50 %)	
AM 11:45	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	
NN 12:00	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	
NN 12:15	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	
NN 12:30	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	
NN 12:45	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	    1 ( 50 %)	    0 (  0 %)	
